,year,brand,full_model_name,model_name,price,distance_travelled(kms),fuel_type,city
226,2016,Maruti Suzuki,Maruti Suzuki Wagon R 1.0 VXI AMT,Wagon,450000.0,30000.0,Petrol,Bangalore
227,2019,Mahindra,Mahindra XUV500 W11,XUV500,1800000.0,30000.0,Diesel,Bangalore
228,2020,BMW,BMW X1 sDrive20d xLine,X1,3975000.0,6000.0,Diesel,Bangalore
229,2016,Mercedes-Benz,Mercedes-Benz C-Class C 220 CDI Avantgarde,C-Class,2800000.0,60000.0,Diesel,Bangalore
230,2017,Mercedes-Benz,Mercedes-Benz GLE 250 d,GLE,4500000.0,50000.0,Diesel,Bangalore
231,2016,Volkswagen,Volkswagen Polo GT TSI,Polo,795000.0,63000.0,Petrol,Bangalore
232,2017,Hyundai,Hyundai Creta 1.6 S Plus AT,Creta,1300000.0,41000.0,Diesel,Bangalore
233,2017,Audi,Audi Q3 30 TDI S,Q3,2850000.0,49000.0,Diesel,Bangalore
234,2018,Hyundai,Hyundai Creta SX 1.6 (O) Petrol,Creta,1435000.0,33000.0,Petrol,Bangalore
235,2013,Maruti Suzuki,Maruti Suzuki Ertiga ZDi,Ertiga,650000.0,56000.0,Diesel,Bangalore
236,2016,Skoda,Skoda Octavia 2.0 TDI CR Ambition Plus AT,Octavia,1400000.0,64382.0,Diesel,Bangalore
237,2015,Toyota,Toyota Innova 2.5 VX 8 STR BS-IV,Innova,1325000.0,121434.0,Diesel,Bangalore
238,2020,Maruti Suzuki,Maruti Suzuki XL6 Alpha AT Petrol,XL6,1150000.0,14448.0,Petrol,Bangalore
239,2018,Honda,Honda City S Diesel,City,880000.0000000001,33990.0,Diesel,Bangalore
240,2018,Tata,Tata Nexon XM,Nexon,825000.0,12200.0,Petrol,Bangalore
241,2012,Maruti Suzuki,Maruti Suzuki Ritz Vdi BS-IV,Ritz,429000.0,83522.0,Diesel,Bangalore
242,2018,Hyundai,Hyundai Elite i20 Magna Executive 1.2,Elite,660000.0,28131.0,Petrol,Bangalore
243,2020,Toyota,Toyota Fortuner 2.8 4x4 AT [2016-2020],Fortuner,4100000.0,10906.0,Diesel,Bangalore
244,2011,Maruti Suzuki,Maruti Suzuki Ritz Zxi BS-IV,Ritz,385000.0,55705.0,Petrol,Bangalore
245,2018,Renault,Renault Kwid 1.0 RXT AMT Opt [2016-2019],Kwid,415000.00000000006,14981.0,Petrol,Bangalore
246,2017,Maruti Suzuki,Maruti Suzuki Wagon R 1.0 VXI,Wagon,475000.0,32279.0,Petrol,Bangalore
